Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
00e00912-bf75-4cf8-8b7d-ad64b73bea5f___Mt.N.V_HL 6067.JPG,daun_sehat_100,29.397074142156853,52.360707420222994,23.53890931372549,38.81733179546329,0.585495600904417,0.49793087787227575,0.5980710309273745,0.5058068884350171,1.8955116421568623,2.6785544021530185,1.7517463235294117,2.3490196078431373,6.253451344972008,6.55017796957865,6.211980262055097,6.497440069631791,0.004435997375934134,0.0032062791925916174,0.004499740043267614,0.0032787475789706768,0.0666032835221668,0.05662401604082509,0.0670801016939272,0.05726034909927354,0.9870452587641402,0.9769020225838111,0.9896343719450871,0.9828763243937566
02f95acb-5d92-4f2a-b7ec-3af8709ee7c9___Mt.N.V_HL 9078.JPG,daun_sehat_100,41.78177083333333,68.43024990388312,36.36233149509804,65.32553633217994,0.44170496535671755,0.3568040391459377,0.4668343596174741,0.3620526060079607,3.1447303921568626,4.192341407151096,2.8619332107843136,4.081522491349482,7.220215052638059,7.5032158125225,7.127662951318547,7.483162802437297,0.0019955466628670464,0.001409491543562416,0.0022422941296616687,0.0014604682994636819,0.04467154197995684,0.03754319570258259,0.047352868230569396,0.03821607383632811,0.9866498751863639,0.9781544911272623,0.9883857108128113,0.9791455584828419
05cff9d7-0f63-4b6e-9aa3-199cf9ffa64c___Mt.N.V_HL 9111.JPG,daun_sehat_100,28.830698529411762,50.33424067666283,27.46848958333333,44.424621299500195,0.4901870851953503,0.3845751535772373,0.4784882551348365,0.38683668392928366,2.398039215686275,3.3816839677047286,2.446522671568628,3.2795540176855056,7.076698772836767,7.405366187634915,7.107251015157322,7.393562803653106,0.0016500450876390691,0.0010863038659161793,0.0015714798648281312,0.0010882427292256357,0.040620747009860236,0.03295912416791713,0.03964189532335873,0.03298852420502675,0.9892633147217503,0.9812356965081577,0.9897501264247384,0.9834388909977418
07c7232b-5cdb-4bab-9413-e0108a48526f___Mt.N.V_HL 8957.JPG,daun_sehat_100,19.598897058823532,34.47395617070358,20.275719975490198,33.814009996155335,0.5141761544192669,0.4206961656146081,0.5163048400355199,0.41214894105957933,2.011213235294117,2.7430219146482124,1.998483455882353,2.783944636678201,6.897258105649181,7.178888175235811,6.884148715067717,7.20016099530959,0.0019156011678951605,0.0013512781068884723,0.0019511278057868368,0.0013193114587430588,0.043767581243371906,0.03675973485878907,0.044171572371683086,0.03632232727597529,0.9909324780699896,0.9840421476168977,0.9906155966367527,0.9843477739655437
07d28aaf-09ea-4223-9a65-88ef49e54924___Mt.N.V_HL 9121.JPG,daun_sehat_100,40.774402573529414,60.20399846212996,29.098284313725497,58.28445982314494,0.4247158085478894,0.3339716225710442,0.4524376442236311,0.34344025613152085,3.026485906862745,4.007458669742407,2.67984068627451,3.871418685121107,7.575977510441998,7.863768106077201,7.479132794329416,7.831270431533281,0.0009295501767649461,0.0006287511634909295,0.0010147190937304766,0.0006473806173682053,0.030488525329457082,0.02507491103655065,0.031854655762234764,0.025443675390324515,0.9871264418776783,0.9809664767194951,0.9907951468349308,0.9815737300401182
0ac4ff49-7fbf-4644-98a4-4dc596e2fa87___Mt.N.V_HL 9004.JPG,daun_sehat_100,33.783088235294116,54.166105344098426,24.678048406862743,46.53014994232988,0.41941556520438295,0.3382686226740478,0.4611281311153852,0.34467438248581383,3.079901960784314,4.066174548250673,2.655652573529412,3.8668973471741643,7.591283196783711,7.868134465340413,7.458507257888156,7.825608942370677,0.0009738969931186322,0.0006895985499913454,0.001137515445344038,0.0007140019047475456,0.03120732274833316,0.026260208491010604,0.0337270728843171,0.026720814073443674,0.9905692342711522,0.9848753059857136,0.9931149354077607,0.9870076009759496
0c1667a2-61d7-4dee-b4d9-0d141a1ceb20___Mt.N.V_HL 9127.JPG,daun_sehat_100,39.13238357843137,63.23992310649751,32.66401654411766,57.8320492118416,0.44295689962712864,0.3407741637721543,0.4494988653591123,0.3535496378312176,2.9003370098039216,3.9737024221453288,2.7442248774509803,3.7907420222991157,7.498826874067248,7.814206675184218,7.459349149610103,7.777248779167007,0.0010489424280550148,0.0006881843717577645,0.0010829038814323222,0.0007211629041029232,0.03238738069148252,0.026233268415463685,0.03290750494085388,0.026854476425782783,0.9886086902751016,0.981578268290797,0.9904958569320141,0.9831534714360871
0ca59865-f0d2-4863-b4d1-a6690de53a5a___Mt.N.V_HL 6025.JPG,daun_sehat_100,25.93851102941177,43.24604382929643,23.382429534313726,41.589773164167624,0.5675990749573844,0.47069188843806287,0.5612357231041981,0.47262224139755543,1.8914522058823526,2.6052441368704344,1.853262867647059,2.567550941945406,6.471321940274988,6.770816725019771,6.479327777262194,6.764737788403251,0.0034970930510876226,0.002472258370446052,0.0034095923142541335,0.0024754842908584684,0.05913622452513876,0.049721809806623614,0.05839171443153672,0.049754238923517546,0.990584917073561,0.9842958406788062,0.9915092622327997,0.9848973016462357
0cd6cdbd-1674-4abb-b734-756da4994cd0___Mt.N.V_HL 6052.JPG,daun_sehat_100,24.27654718137255,43.50757400999615,19.548713235294123,31.831649365628607,0.5320897482519722,0.4499365236824586,0.5536784499185754,0.4456159439444472,2.0059283088235293,2.7368242983467894,1.8115808823529411,2.5533102652825836,6.4321476332590315,6.6920676121465075,6.349226912918908,6.689653014607345,0.004224070102056601,0.0031719192378763016,0.00462292100318988,0.003144420631404743,0.06499284654526681,0.0563197943699753,0.06799206573703935,0.056075133806391786,0.9872613521308098,0.9772070910646915,0.9897430310242916,0.9833239361579873
0ce12a10-c6ff-494e-a927-5ddc809c707a___Mt.N.V_HL 8945.JPG,daun_sehat_100,29.542310049019605,39.47132641291811,23.744761029411766,51.2723721645521,0.5071557005867697,0.4239902588423218,0.5195684437271221,0.41492735768654,2.3861213235294114,3.0490272971933874,2.214338235294117,3.2991926182237603,6.906787998831336,7.17140751844707,6.861641386058662,7.20403941432429,0.0024233777648620725,0.001757571430619726,0.002501895116962226,0.00173435426382749,0.04922781495112365,0.041923399559431314,0.05001894757951456,0.04164557916306952,0.9881389459002177,0.9841516052750946,0.9904711908961592,0.9794137154870305
0cfdea92-260f-42b2-9db9-c31fee6ec567___Mt.N.V_HL 6119.JPG,daun_sehat_100,31.314445465686273,49.89674740484429,25.702787990196086,47.20945790080739,0.558338135931514,0.4619034225544352,0.5609972706122163,0.4755738861691634,2.0511182598039217,2.8278969627066513,1.9219056372549024,2.6563475586312957,6.622391538877173,6.9301340930670925,6.605643683464198,6.883372587624244,0.0034982712806898193,0.002482885460461559,0.0034429640661794753,0.0025663890252484735,0.05914618568166352,0.0498285606902463,0.0586767762081343,0.05065954031817179,0.9912251014569753,0.9860235277279334,0.9927957469558218,0.9867762610104215
0dca4cc0-2f37-4d55-8060-ce5e2137fd45___Mt.N.V_HL 9077.JPG,daun_sehat_100,37.33606004901961,58.99092656670512,30.623069852941175,57.953510188389075,0.46729636331609636,0.36254146730727155,0.4474000343370363,0.35888025361944187,2.8616727941176467,3.9482199154171473,2.8694546568627453,3.9592618223760097,6.995086209280219,7.331188068818541,7.047197234348785,7.342041152069942,0.002458786955250084,0.001611306212483561,0.0022238017210177577,0.0015581933485790001,0.04958615689131478,0.040141078865465994,0.04715720221787715,0.03947395785298201,0.9854672366911016,0.9770472491490085,0.9880783584299391,0.9774509831614381
0e49ddc9-b969-46e6-af95-8d21dfac22ec___Mt.N.V_HL 9088.JPG,daun_sehat_100,32.83432904411765,64.57982314494424,27.914123774509807,42.3922337562476,0.5651945424943283,0.47855347132463877,0.5897464523306505,0.49983683059489326,1.993458946078432,2.8687581699346407,1.7792585784313728,2.4005997693194923,6.672108369897822,6.96732647916398,6.5691210911630655,6.865147461988717,0.0026841024232341537,0.0019757219334650957,0.002928717766116098,0.002137750999563797,0.05180832387979902,0.044449093730526114,0.05411762897722052,0.046235819442979456,0.9871211210414182,0.9746639781541978,0.9890591115378721,0.9833683551620331
0e599f33-3a12-462e-adc1-b47a0d1fc6d8___Mt.N.V_HL 9126.JPG,daun_sehat_100,35.22466299019608,47.87303344867359,26.380545343137253,56.65236447520185,0.4615948580124556,0.37510231529197047,0.47462106835194773,0.367737212392075,2.687408088235294,3.4235140330642064,2.4469362745098038,3.652656670511342,7.3132058131774595,7.5744691809927165,7.255954478857286,7.6216693240798845,0.0012273206641150638,0.0008683035433832639,0.0013057876815707901,0.0008446580670699954,0.035033136658242064,0.02946699074190074,0.03613568432409701,0.029063001687196652,0.9872415612776803,0.9826752068229861,0.9904541719548884,0.9794979339467863
0eb2593a-5e67-4f13-91ea-105831323d54___Mt.N.V_HL 6117.JPG,daun_sehat_100,30.785094975490196,51.63689350249905,28.892738970588237,49.78991157247213,0.5361066300107117,0.4392469507816133,0.5326910788165191,0.44299631343270796,2.105928308823529,2.9509111880046137,2.091574754901961,2.8386159169550176,6.637736598147141,6.947426918856966,6.641510209822572,6.927963735428589,0.003164886040487733,0.002266607363181079,0.003166731996107266,0.002261350342731871,0.0562573198836181,0.04760890004170522,0.056273723851432346,0.04755365751161388,0.9913014798959761,0.9854198307809975,0.9918383286636917,0.9859412821688264
0ec29818-c70e-4586-9481-3201a67b7910___Mt.N.V_HL 6175.JPG,daun_sehat_100,51.58874080882353,92.63364859669358,56.44641544117647,89.11144944252212,0.5119297825676649,0.42332534085177587,0.5074851469911386,0.42097525925984597,2.6539981617647057,3.7442983467896966,2.7267769607843135,3.6913494809688583,6.971154664544233,7.286833348148987,6.995145014619396,7.2799474072442205,0.0030561877305303247,0.0022142449278299346,0.002939541826611159,0.0021667823912401123,0.055282797781320045,0.04705576402344281,0.054217541687272754,0.046548709877289964,0.987899880440634,0.9782887094029208,0.9867671756355827,0.9791141311158792
0f0596ab-ea6e-472b-a7d5-0a80b1d1ebb2___Mt.N.V_HL 9011.JPG,daun_sehat_100,35.44128370098039,48.39489427143407,31.41248468137255,63.52444444444444,0.4473365623362321,0.36299195105507764,0.4551727964643537,0.34589927592355624,2.867754289215686,3.6274971164936565,2.7414368872549018,4.052487504805844,7.329540578692441,7.587661049139817,7.294785940720006,7.657547529223123,0.0013838110736405468,0.000963572730507194,0.001418879302544394,0.0009146737842674593,0.037199611202814294,0.031041467918047853,0.03766801431645148,0.03024357426408888,0.9859208094210573,0.9807639728176006,0.9875431468117607,0.9747502424129633
0f7500d4-cf47-4f9f-a505-455a4f7ca2e6___Mt.N.V_HL 9043.JPG,daun_sehat_100,25.211029411764706,38.854240676662826,21.969194240196078,40.68768935024991,0.5205642097459063,0.43777829466311813,0.5330972791864883,0.4300284134715166,2.150827205882353,2.8072741253364093,2.0032628676470585,2.8809996155324877,6.762753553064065,7.020062574878834,6.712529526163391,7.038070906146671,0.003027494401942763,0.002222025687041671,0.0031015347866130212,0.0021988262580816148,0.05502267170851269,0.0471383674626272,0.055691424713442385,0.04689164379803309,0.9899080731836015,0.9844499333800973,0.9912127949919048,0.9837160606746416
0f8906e9-86e1-49f8-aea0-3e887924799d___Mt.N.V_HL 9012.JPG,daun_sehat_100,33.77072610294118,51.693702422145336,24.25121017156863,46.972672049211845,0.45421268501724166,0.3623322963739203,0.4720858095972157,0.36658770661778894,2.7880055147058824,3.6972702806612836,2.515793504901961,3.6292195309496353,7.30226883048225,7.588183608264147,7.235173686251987,7.580227197028991,0.0013246178837841816,0.0009193135281568132,0.0014197794596354167,0.0009278777082898202,0.036395300298035484,0.030320183511265447,0.03767996098240305,0.030461085146294774,0.9873447397620316,0.9805938705390125,0.9909056812101101,0.982365507365166
0f8bcc89-f990-43b2-88c1-65cdbe9f0882___Mt.N.V_HL 6094.JPG,daun_sehat_100,42.12708333333333,68.4179161860823,38.82512254901961,68.2175624759708,0.4935335756935967,0.4076905940591049,0.5068077134850615,0.4019032875485108,2.664093137254902,3.549511726259131,2.5127144607843137,3.626897347174164,6.950248269217703,7.223334907539558,6.898737118840996,7.23894499892236,0.002716658143802864,0.0019828983056083627,0.002797904595738418,0.0019660098790856323,0.05212157081096908,0.044529746300741066,0.05289522280639735,0.0443397099571663,0.9881738157758261,0.9807969783359864,0.989102286401915,0.980853201694407
